n_number,mode_s_hex,model_code,model_name,manufacturer,owner_name,owner_city,owner_state,match_reasons,confidence,type_aircraft,type_engine,status_code
1065B,A01E07,1152740,Unknown,Unknown,CLEMSON AIR CARGO LLC,CLEMSON,SC,Owner name keyword,low,5,1,V
1068K,A01E78,7150004,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
106AE,A01B03,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
106FW,A01B90,7630410,Unknown,Unknown,FLORIDA FISH & WILDLIFE CONSERVATION COMMISSION,LAKELAND,FL,Owner name keyword,low,5,1,V
106GL,A01B9F,056255U,Unknown,Unknown,VON KOSCHIER ANGELO,LYNNFIELD,MA,Owner name keyword,low,4,8,V
106RH,A01C7D,1152920,Unknown,Unknown,SOUTHERN BRACING SYSTEMS INC,ARMUCHEE,GA,Owner name keyword,low,5,2,V
106VS,A01CEA,5580103,Unknown,Unknown,VERTOL SYSTEMS CO INC,DESTIN,FL,Owner name keyword,low,6,3,V
1074G,A021A0,7150006,Unknown,Unknown,EAGLEMED LLC,WICHITA,KS,Owner name keyword,low,5,2,V
1076K,A021E9,7150004,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
1078U,A02238,7103405,Unknown,Unknown,HIGH FLIGHT ACADEMY LLC,ALLISON PARK,PA,Owner name keyword,low,5,1,V
10791,A02262,1880280,Unknown,Unknown,GLOBAL MEDIA BOX,ALBUQUERQUE,NM,Owner name keyword,low,2,0,V
1079D,A0224C,7150004,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
1083S,A0253E,7150004,Unknown,Unknown,GUARDIAN FLIGHT LLC,LEWISVILLE,TX,Owner name keyword,low,5,2,V
1088N,A025E9,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
108AE,A02271,1182107,Unknown,Unknown,AIR EVAC EMS INC,OFALLON,MO,Owner name keyword,low,6,3,V
108AL,A02277,1152920,Unknown,Unknown,RJ FLIGHT LLC,SAINT PETERSBURG,FL,Owner name keyword,low,5,2,V
108MQ,A0238E,7640122,Unknown,Unknown,ARAPAHOE FLIGHT CLUB LLC,COLORADO SPRINGS,CO,Owner name keyword,low,6,1,V
1091P,A028AC,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
1091S,A028AF,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
1093A,A028E5,1385152,Unknown,Unknown,ANDROMEDA LEASING II LLC,PURCHASE,NY,Owner name keyword,low,5,5,V
1095G,A02931,3800344,STD LIBELLE 201B,GLASFLUGEL,FRIED MICHAEL T,ALBUQUERQUE,NM,Model: STD LIBELLE 201B,medium,1,0,V
1095W,A0293F,7150004,Unknown,Unknown,EAGLEMED LLC,WICHITA,KS,Owner name keyword,low,5,2,V
109AG,A0262A,0260118,A109C,AGUSTA SPA,O'BRIEN HELICOPTERS INC,LEHIGH ACRES,FL,Model: A109C,medium,6,3,V
109AH,A0262B,0260101,A109E,AGUSTA SPA,EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,EUDORA,KS,Model: A109E; Owner name keyword,high,6,3,V
109AL,A0262E,0260101,A109E,AGUSTA SPA,EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,EUDORA,KS,Model: A109E; Owner name keyword,high,6,3,V
109AZ,A0263B,0260116,AW109SP,AGUSTAWESTLAND SPA,WILMINGTON TRUST CO TRUSTEE,WILMINGTON,DE,Model: AW109SP,medium,6,3,V
109BC,A0263F,5620026,EC135T1,EUROCOPTER DEUTSCHLAND GMBH,BROWARD COUNTY SHERIFFS OFFICE,FORT LAUDERDALE,FL,Model: EC135T1,medium,6,3,V
109BM,A02648,0260101,A109E,AGUSTA SPA,AREA 109 LLC,BROOKLYN,NY,Model: A109E,medium,6,3,V
109BT,A0264E,0260103,A109S,AGUSTA SPA,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NORTH SALT LAKE,UT,Model: A109S,medium,6,3,V
109CG,A0265C,0260101,A109E,AGUSTA SPA,EUROTEC VERTICAL FLIGHT SOLUTIONS LLC,EUDORA,KS,Model: A109E; Owner name keyword,high,6,3,V
109CY,A0266C,0260120,A109A II,AGUSTA SPA,O'BRIEN DERRICK P,MIDDLETOWN,DE,Model: A109A II,medium,6,3,V
109DD,A02672,0260101,A109E,AGUSTA SPA,LITTON GLOBAL LLC,WILMINGTON,DE,Model: A109E,medium,6,3,V
109FB,A026A2,0260101,A109E,AGUSTA SPA,CITY OF PHOENIX,PHOENIX,AZ,Model: A109E,medium,6,3,V
109GL,A026C4,0260118,A109C,AGUSTA SPA,A AIR CLUB LLC,TAMPA,FL,Model: A109C,medium,6,3,V
109GR,A026C9,1145302,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
109HN,A026DF,0260101,A109E,AGUSTA SPA,PRESTIGE AIR LLC,ALISO VIEJO,CA,Model: A109E,medium,6,3,V
109JP,A026F9,0260659,A109E,AGUSTA S P A CONSTRUZIONI AERO,10-4 AVIATION LLC,DOVER,DE,Model: A109E,medium,6,3,V
109LB,A0271F,3027369,Unknown,Unknown,VERTOL SYSTEMS COMPANY INC,DESTIN,FL,Owner name keyword,low,6,3,V
109LR,A0272D,0260120,A109A II,AGUSTA SPA,CENTERLINE HOLDINGS INC,CAMDEN,DE,Model: A109A II,medium,6,3,V
109MH,A0273E,0260101,A109E,AGUSTA SPA,GATEWAY AIR CENTER INC,MERCED,CA,Model: A109E,medium,6,3,V
109MM,A02742,0260120,A109A II,AGUSTA SPA,AIRBORNE LEASING INC,SYLMAR,CA,Model: A109A II,medium,6,3,V
109NL,A0275A,0260120,A109A II,AGUSTA SPA,INTEGRITY AIRCRAFT TITLE HOLDINGS LLC,PORTLAND,OR,Model: A109A II,medium,6,3,V
109P,A02768,0260101,A109E,AGUSTA SPA,PHOENIX HELICOPTERS LLC,DOVER,DE,Model: A109E,medium,6,3,V
109PB,A0276A,0260120,A109A II,AGUSTA SPA,BENNEDSEN ROSA FADIA GABRIEL,AVENTURA,FL,Model: A109A II,medium,6,3,V
109SF,A027B9,0260120,A109A II,AGUSTA SPA,HELI ASSETS LLC,MESA,AZ,Model: A109A II,medium,6,3,V
109SJ,A027BC,0260101,A109E,AGUSTA SPA,CARMONA CRISTOBAL PELAEZ,LAREDO,TX,Model: A109E,medium,6,3,V
109SP,A027C1,33601QA,AW109SP,LEONARDO SPA,DOUBLE OR NOTHING LLC,PROSPER,TX,Model: AW109SP,medium,6,3,V
109TG,A027D3,0260101,A109E,AGUSTA SPA,TWIN ROTORS FLYING CIRCUS LLC,PORT ORANGE,FL,Model: A109E,medium,6,3,V
109WG,A0281E,0260120,A109A II,AGUSTA SPA,DODSON INTERNATIONAL PARTS INC,RANTOUL,KS,Model: A109A II,medium,6,3,V
109WH,A0281F,0260112,A109A,AGUSTA SPA,TRE AVIATION CORP,WILMINGTON,DE,Model: A109A,medium,6,3,V
109WJ,A02820,0260112,A109A,AGUSTA SPA,L S SERVICE CORP,WILMINGTON,DE,Model: A109A,medium,6,3,V
109XP,A0283E,0260112,A109A,AGUSTA SPA,NATIONAL TEST PILOT SCHOOL,MOJAVE,CA,Model: A109A,medium,6,3,V
109ZT,A02874,0260118,A109C,AGUSTA SPA,AEROTRUST SERVICES CORP TRUSTEE,WILMINGTON,DE,Model: A109C,medium,6,3,V
10BH,A0027C,3800344,STD LIBELLE 201B,GLASFLUGEL,MASTRO KEVIN J,MALVERN,PA,Model: STD LIBELLE 201B,medium,1,0,V
10BL,A0027F,0260103,A109S,AGUSTA SPA,LEON HELICOPTER ONE LLC,MIAMI,FL,Model: A109S,medium,6,3,V
10GX,A00307,05620RN,Unknown,Unknown,AERO FLIGHT SOLUTIONS LLC,JENSEN BEACH,FL,Owner name keyword,low,4,5,V
10RT,A003E4,0141404,Unknown,Unknown,BARBERS POINT FLIGHT SCHOOL LLC,KAPOLEI,HI,Owner name keyword,low,5,1,V
1100H,A02E93,4400000,Unknown,Unknown,SHIVERLEE FLIGHT LLC,THOMASVILLE,GA,Owner name keyword,low,5,5,V
1100W,A02EA0,06102AX,Unknown,Unknown,WGTE PUBLIC MEDIA,TOLEDO,OH,Owner name keyword,low,6,10,V
1102,A02ED1,8680208,Unknown,Unknown,ESSENTIAL FLIGHT OPERATIONS LLC,ARLINGTON,WA,Owner name keyword,low,6,3,V
1103S,A02F05,8143021,S-76D,SIKORSKY AIRCRAFT CORP,SCS 21 LLC,NORTH SALT LAKE,UT,Model: S-76D,medium,6,3,V
1104Z,A02F2F,4470504,Unknown,Unknown,ELECTRICAL SYSTEMS OF WY INC,GILLETTE,WY,Owner name keyword,low,6,1,V
1106B,A02F5F,3800341,STANDARD LIBELLE,GLASFLUGEL,WILLAT GARRET,WARNER SPRINGS,CA,Model: STANDARD LIBELLE,medium,1,0,V
1107P,A02F8E,4470706,Unknown,Unknown,TEMSCO HELICOPTERS INC,KETCHIKAN,AK,Owner name keyword,low,6,3,V
110AW,A02C48,5620025,MBB-BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,,,,Model: MBB-BK117 D-3,medium,6,3,V
110FF,A02CB6,06102GN,Unknown,Unknown,FREEDOM FLIGHT WORKS,SAN DIEGO,CA,Owner name keyword,low,8,1,V
110GL,A02CD4,5626130,BO-105 P1M,MESSERSCHMIDT-BOLKOW-BLOHM GMB,QUALITAIR LLC TRUSTEE,MICHELSTADT,,Model: BO-105 P1M,medium,6,3,V
110GR,A02CD9,3940080,MBB-BK117 D-3,AIRBUS HELICOPTERS,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: MBB-BK117 D-3,medium,6,3,V
110LL,A02D38,7103902,Unknown,Unknown,FLIGHT LEVEL 7 INC,WILMINGTON,DE,Owner name keyword,low,5,1,V
110UL,A02E00,05902N3,Unknown,Unknown,FEEMSTER JOHN R,SARATOGA,CA,Owner name keyword,low,4,7,V
11110,A0327E,8143007,S-76B,SIKORSKY,ARROW AVIATION CO LLC,BROUSSARD,LA,Model: S-76B,medium,6,3,V
11111,A0327F,8360602,Unknown,Unknown,STAR FLIGHT LLC,BELLEVUE,WA,Owner name keyword,low,5,1,V
1112B,A0328A,4220038,Unknown,Unknown,STRAIGHT FLIGHT NEVADA COMMERCIAL LEASING LLC,SPARKS,NV,Owner name keyword,low,5,2,V
1113R,A032BB,3980050,Unknown,Unknown,INTERSYSTEMS CORP,CAMBRIDGE,MA,Owner name keyword,low,5,5,V
1114Z,A032E6,7150004,Unknown,Unknown,CAREFREE AIR LLC,SAN JOSE,CA,Owner name keyword,low,5,2,V
1118T,A0336C,1152706,Unknown,Unknown,FRIEND AIR CARE INC,WASHINGTON,PA,Owner name keyword,low,5,1,V
111CR,A0302C,3800341,STANDARD LIBELLE,GLASFLUGEL,CRAMER WARREN C,HORSEHEADS,NY,Model: STANDARD LIBELLE,medium,1,0,V
111DS,A03046,7106012,Unknown,Unknown,STARFLIGHT AVIATION INC,WILMINGTON,DE,Owner name keyword,low,5,1,V
111LN,A030F1,8680817,AS350BA,AEROSPATIALE,C LOU LEASING LLC,MANKATO,MN,Model: AS350BA,medium,6,3,V
111MQ,A0310C,7150006,Unknown,Unknown,BISMARCK AIR MEDICAL LLC,BISMARCK,ND,Owner name keyword,low,5,2,V
111PH,A03137,7103406,Unknown,Unknown,GOOD FLIGHT AVIATION LLC,STOCKTON,CA,Owner name keyword,low,5,1,V
111RK,A0316B,2071835,Unknown,Unknown,SAN CARLOS FLIGHT CENTER INC,SAN CARLOS,CA,Owner name keyword,low,4,8,V
1124T,A03697,3800339,H 301 B LIBELLE,GLASFLUGEL,EILAND EDDIE L,DUBLIN,TX,Model: H 301 B LIBELLE,medium,1,0,V
112FC,A03421,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,FLORIDA DEPT OF AGRICULTURE AND CONSUMER SERVICES,TALLAHASSEE,FL,Model: AW119MKII,medium,6,3,V
112LT,A034AD,2073701,Unknown,Unknown,NORTHROP GRUMMAN SYSTEMS CORP,EL SEGUNDO,CA,Owner name keyword,low,4,2,V
112MF,A034BA,1152809,Unknown,Unknown,MUMMY MOUNTAIN MED LLC,PARADISE VALLEY,AZ,Owner name keyword,low,5,1,V
112MT,A034C6,5620030,Unknown,Unknown,REACH AIR MEDICAL SERVICES LLC,SANTA ROSA,CA,Owner name keyword,low,6,3,V
112PS,A034F7,3022037,Unknown,Unknown,FRONTERA FLIGHT HOLDINGS INC,DOVER,DE,Owner name keyword,low,5,4,V
112SR,A03541,05632NI,BLUE ANGELS,SWETT SCOTT E,GONZALEZ CARLOS LC,LAKELAND,FL,Model: BLUE ANGELS,medium,4,8,V
1134T,A03A4E,3800344,STD LIBELLE 201B,GLASFLUGEL,STRASCHIL KLAUS G,COSTA MESA,CA,Model: STD LIBELLE 201B,medium,1,0,V
113AE,A0375D,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
113GR,A037FE,3940080,MBB-BK117 D-3,AIRBUS HELICOPTERS,REACH AIR MEDICAL SERVICES LLC,LEWISVILLE,TX,Model: MBB-BK117 D-3; Owner name keyword,high,6,3,V
113JP,A0382E,8680811,AS350B1 ECUREUIL,AEROSPATIALE,JULIETTE PAPA LEASING LLC,KALISPELL,MT,Model: AS350B1 ECUREUIL,medium,6,3,V
113MT,A0387D,5620030,Unknown,Unknown,MED-TRANS CORP,DENTON,TX,Owner name keyword,low,6,3,V
113PH,A038A5,8680817,AS350BA,AEROSPATIALE,CHEROKEE HELICOPTER SERVICE LLC,FORD CITY,PA,Model: AS350BA,medium,6,3,V
1141U,A03D9D,2072418,Unknown,Unknown,FLIGHT SCHOOL INC,SPRING,TX,Owner name keyword,low,4,8,V
1143,A03DD0,3800337,H 301 LIBELLE,GLASFLUGEL,BRUDER NICLAS,PORTLAND,OR,Model: H 301 LIBELLE,medium,1,0,V
114GR,A03BB5,1145302,Unknown,Unknown,REACH AIR MEDICAL SERVICES LLC,LEWISVILLE,TX,Owner name keyword,low,6,3,V
114HB,A03BC0,7150006,Unknown,Unknown,EAGLEMED LLC,WICHITA,KS,Owner name keyword,low,5,2,V
114HK,A03BC8,061003A,Unknown,Unknown,GENERAL ATOMICS AERONAUTICAL SYSTEMS INC,POWAY,CA,Owner name keyword,low,4,2,V
114KN,A03BFD,2076750,Unknown,Unknown,KNC FLIGHTS LLC,BEAVERTON,OR,Owner name keyword,low,5,5,V
114VS,A03CFB,5580103,Unknown,Unknown,VERTOL SYSTEMS CO INC,DESTIN,FL,Owner name keyword,low,6,3,V
11526,A04183,3260305,Unknown,Unknown,CORPORATE FLIGHT MANAGMENT INC,SMYRNA,TN,Owner name keyword,low,5,5,V
11565,A0420E,3260212,Unknown,Unknown,CORPORATE FLIGHT MANAGEMENT INC,SMYRNA,TN,Owner name keyword,low,5,5,V
115FC,A03F46,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,FLORIDA DEPART OF AGRICULTURE & CONSUMER SERVICES,TALLAHASSEE,FL,Model: AW119MKII,medium,6,3,V
115GR,A03F6C,1145005,AS350B3,AIRBUS HELICOPTERS INC,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: AS350B3,medium,6,3,V
115GX,A03F72,060006H,Unknown,Unknown,MARYLAND SPORT FLIGHT LLC,SEVERNA PARK,MD,Owner name keyword,low,4,8,V
115MQ,A03FE8,8143021,S-76D,SIKORSKY AIRCRAFT CORP,ARKANSAS CHILDRENS HOSPITAL,LITTLE ROCK,AR,Model: S-76D; Owner name keyword,high,6,3,V
116FC,A042FD,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,FLORIDA DEPARTMENT OF AGRICULTURE & CONSUMER SRVS,TALLAHASSEE,FL,Model: AW119MKII,medium,6,3,V
116RB,A043F6,3800339,H 301 B LIBELLE,GLASFLUGEL,RATZIN BRENDAN,PAHRUMP,NV,Model: H 301 B LIBELLE,medium,1,0,V
117B,A0464D,2076619,Unknown,Unknown,EVP SYSTEMS AVIATION LLC,SANTA BARBARA,CA,Owner name keyword,low,5,5,V
117FC,A046B4,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,FLORIDA DEPARTMENT OF AGRICULTURE AND,TALLAHASSEE,FL,Model: AW119MKII,medium,6,3,V
117GR,A046DA,8680151,EC135 P3,AIRBUS HELICOPTERS,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: EC135 P3,medium,6,3,V
117MS,A04758,1390022,Unknown,Unknown,STAR FLIGHT LLC,GREENWICH,CT,Owner name keyword,low,5,5,V
117TV,A047F1,1145100,AS350B2,AMERICAN EUROCOPTER CORP,U S HELICOPTERS INC,MARSHVILLE,NC,Model: AS350B2,medium,6,3,V
1180L,A04C4E,06001C6,Unknown,Unknown,HIGHLANDS AERO FLIGHT CENTER LLC,ABINGDON,VA,Owner name keyword,low,4,8,V
1188Y,A04D72,7103002,Unknown,Unknown,SKYLARK FLIGHT TRAINING LLC,PANAMA CITY,FL,Owner name keyword,low,5,1,V
118AE,A049F0,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
118FC,A04A6B,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,FLORIDA DEPT OF AGRICULTURE AND CONSUMER SERVICES,TALLAHASSEE,FL,Model: AW119MKII,medium,6,3,V
118FW,A04A7D,1181511,Unknown,Unknown,FLORIDA FISH & WILDLIFE CONSERVATION COMMISSION,LAKELAND,FL,Owner name keyword,low,6,3,V
118MM,A04B0A,2076802,Unknown,Unknown,BRADLEY FLIGHT LLC,DENVER,CO,Owner name keyword,low,5,5,V
118SB,A04B7D,7150006,Unknown,Unknown,EAGLEMED LLC,WICHITA,KS,Owner name keyword,low,5,2,V
119AE,A04DA7,1182108,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
119BF,A04DC1,0600066,Unknown,Unknown,BOUNTIFUL FLIGHT LLC,WOODS CROSS,UT,Owner name keyword,low,4,8,V
119BJ,A04DC4,2990104,Unknown,Unknown,FLIGHT STARS AZ LLC,TEMPE,AZ,Owner name keyword,low,5,1,V
119FC,A04E22,0260405,AW119,AGUSTAWESTLAND PHILADELPHIA CO,FLORIDA DEPARTMENT OF AGRICULTURE & CONSUMER SERVS,TALLAHASSEE,FL,Model: AW119,medium,6,3,V
119LW,A04EB1,0260105,AW119 MKII,AGUSTA AEROSPACE CORP,AGUSTA WESTLAND PHILADELPHIA CORP,PHILADELPHIA,PA,Model: AW119 MKII,medium,6,3,V
119MF,A04EBB,1182154,Unknown,Unknown,MERCY FLIGHTS INC,MEDFORD,OR,Owner name keyword,low,6,3,V
119MT,A04EC7,5620040,EC135 P3,AIRBUS HELICOPTERS DEUTSCHLAND,MED-TRANS CORP,DENTON,TX,Model: EC135 P3; Owner name keyword,high,6,3,V
119NY,A04EE5,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,CITY OF NEW YORK,WAPPINGERS FALLS,NY,Model: AW119MKII,medium,6,3,V
119TV,A04F5F,8680766,AS350BA,AIRBUS HELICOPTERS,U S HELICOPTERS INC,MARSHVILLE,NC,Model: AS350BA,medium,6,3,V
11GJ,A02A79,5170602,Unknown,Unknown,GLOBAL JETCARE INC,BROOKSVILLE,FL,Owner name keyword,low,5,5,V
11GV,A02A84,3800337,H 301 LIBELLE,GLASFLUGEL,GRAH DAVID B,BISHOP,CA,Model: H 301 LIBELLE,medium,1,0,V
11QD,A02B3C,8680988,Unknown,Unknown,MANSFIELD HELIFLIGHT INC,MILTON,VT,Owner name keyword,low,6,3,V
11RD,A02B55,3800341,STANDARD LIBELLE,GLASFLUGEL,HOLMES ALONSO P,BROOMFIELD,CO,Model: STANDARD LIBELLE,medium,1,0,V
11SA,A02B6B,3800344,STD LIBELLE 201B,GLASFLUGEL,BARLOW ROBERT K,LAKEWAY,TX,Model: STD LIBELLE 201B,medium,1,0,V
11VR,A02BC5,9370100,Unknown,Unknown,ULTRAFLIGHT LLC,WILMINGTON,DE,Owner name keyword,low,1,1,V
11ZP,A02C27,5620037,MBB-BK117 D-3,AIRBUS HELICOPTERS INC,,,,Model: MBB-BK117 D-3,medium,6,3,V
120AM,A053BE,1145005,AS350B3,AIRBUS HELICOPTERS INC,AIR METHODS LLC,GREENWOOD VILLAGE,CO,Model: AS350B3,medium,6,3,V
120AU,A053C5,2995001,Unknown,Unknown,MUSTANG HIGH FLIGHT LLC,BOISE,ID,Owner name keyword,low,4,5,V
120DT,A0540F,8143007,S-76B,SIKORSKY,IFLYAJET INC,LAWRENCEVILLE,GA,Model: S-76B,medium,6,3,V
120GL,A05453,5626042,BO-105 P1M,MESSERSCHMITT BOLKOW BLOHM GMB,QUALITAIR LLC TRUSTEE,MICHELSTADT,,Model: BO-105 P1M,medium,6,3,V
120LA,A054AD,1182157,Unknown,Unknown,COUNTY OF LOS ANGELES FIRE DEPT,PACOIMA,CA,Owner name keyword,low,6,3,V
120NY,A054F5,0260401,AW119MKII,AGUSTAWESTLAND PHILADELPHIA CO,CITY OF NEW YORK,WAPPINGERS FALLS,NY,Model: AW119MKII,medium,6,3,V
120PD,A054FB,1145005,AS350B3,AIRBUS HELICOPTERS INC,CITY OF ALBUQUERQUE,ALBUQUERQUE,NM,Model: AS350B3,medium,6,3,V
1211M,A059F0,5470414,Unknown,Unknown,ARCHANGELAIR LLC,WILMINGTON,DE,Owner name keyword,low,4,2,V
1217A,A05AB7,1385217,Unknown,Unknown,ANDROMEDA LEASING I LLC,PURCHASE,NY,Owner name keyword,low,5,5,V
12187,A05AF9,2072418,Unknown,Unknown,LOWCOUNTRY FLIGHT LLC,JOHNS ISLAND,SC,Owner name keyword,low,4,8,V
